original,sanitized
[Fragiatoula_Utilitas_4866kWp] PCC Production voltage of L2-L3 (Vac),frag_util__4866kwp__pcc_prod_volt_of_l2_l3__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC Production voltage of L3-L1 (Vac),frag_util__4866kwp__pcc_prod_volt_of_l3_l1__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC Total Production active power (kW),frag_util__4866kwp__pcc_tota_prod_acti_powe__u_kw
[Fragiatoula_Utilitas_4866kWp] PCC Total Production reactive power (kVAr),frag_util__4866kwp__pcc_tota_prod_reac_powe__u_kvar
[Fragiatoula_Utilitas_4866kWp] Weather Station 1 Ambient temperature (C),frag_util__4866kwp__weat_stat_1_ambi_temp__u_c
[Fragiatoula_Utilitas_4866kWp] Weather Station 1 Relative humidity (%),frag_util__4866kwp__weat_stat_1_rela_humi__u_pct
[Fragiatoula_Utilitas_4866kWp] Weather Station 1 Wind speed (m*s^-1),frag_util__4866kwp__weat_stat_1_wind_spee__u_m_s_1
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Current THD-R of phase L1 (%),hlek_pelo__391kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Current THD-R of phase L2 (%),hlek_pelo__391kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Current THD-R of phase L3 (%),hlek_pelo__391kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Voltage THD-R of phase L1 (%),hlek_pelo__391kwp__pcc_volt_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Voltage THD-R of phase L2 (%),hlek_pelo__391kwp__pcc_volt_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC Voltage THD-R of phase L3 (%),hlek_pelo__391kwp__pcc_volt_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 391 KWp Pelopio] PCC PCC active energy export (kWh),hlek_pelo__391kwp__pcc_acti_ener_expo__u_kwh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC active energy import (kWh),hlek_pelo__391kwp__pcc_acti_ener_impo__u_kwh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC apparent energy (kVAh),hlek_pelo__391kwp__pcc_appa_ener__u_kvah
[Hlektrogenesis 391 KWp Pelopio] PCC PCC average current (A),hlek_pelo__391kwp__pcc_aver_curr__u_a
[Hlektrogenesis 391 KWp Pelopio] PCC PCC average line voltage (Vac),hlek_pelo__391kwp__pcc_aver_line_volt__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC average phase voltage (Vac),hlek_pelo__391kwp__pcc_aver_phas_volt__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC current of phase L1 (A),hlek_pelo__391kwp__pcc_curr_of_phas_l1__u_a
[Hlektrogenesis 391 KWp Pelopio] PCC PCC current of phase L2 (A),hlek_pelo__391kwp__pcc_curr_of_phas_l2__u_a
