original,sanitized
[Ntarali_Concept_320KW] PCC PCC voltage of L1-L2 (Vac),ntar_conc__320kwp__pcc_volt_of_l1_l2__u_vac
[Ntarali_Concept_320KW] PCC PCC voltage of L2-L3 (Vac),ntar_conc__320kwp__pcc_volt_of_l2_l3__u_vac
[Ntarali_Concept_320KW] PCC PCC voltage of L3-L1 (Vac),ntar_conc__320kwp__pcc_volt_of_l3_l1__u_vac
[Ntarali_Concept_320KW] PCC Production active energy export (kWh),ntar_conc__320kwp__pcc_prod_acti_ener_expo__u_kwh
[Ntarali_Concept_320KW] PCC Production active energy import (kWh),ntar_conc__320kwp__pcc_prod_acti_ener_impo__u_kwh
[Ntarali_Concept_320KW] PCC Production apparent energy (kVAh),ntar_conc__320kwp__pcc_prod_appa_ener__u_kvah
[Ntarali_Concept_320KW] PCC Production current of phase L1 (A),ntar_conc__320kwp__pcc_prod_curr_of_phas_l1__u_a
[Ntarali_Concept_320KW] PCC Production current of phase L2 (A),ntar_conc__320kwp__pcc_prod_curr_of_phas_l2__u_a
[Ntarali_Concept_320KW] PCC Production current of phase L3 (A),ntar_conc__320kwp__pcc_prod_curr_of_phas_l3__u_a
[Ntarali_Concept_320KW] PCC Production frequency (Hz),ntar_conc__320kwp__pcc_prod_freq__u_hz
[Ntarali_Concept_320KW] PCC Production reactive energy export (kVArh),ntar_conc__320kwp__pcc_prod_reac_ener_expo__u_kvarh
[Ntarali_Concept_320KW] PCC Production reactive energy import (kVArh),ntar_conc__320kwp__pcc_prod_reac_ener_impo__u_kvarh
[Ntarali_Concept_320KW] PCC Production total power factor (-),ntar_conc__320kwp__pcc_prod_tota_powe_fact__u_num
[Ntarali_Concept_320KW] PCC Production voltage of L1-L2 (Vac),ntar_conc__320kwp__pcc_prod_volt_of_l1_l2__u_vac
[Ntarali_Concept_320KW] PCC Production voltage of L2-L3 (Vac),ntar_conc__320kwp__pcc_prod_volt_of_l2_l3__u_vac
[Ntarali_Concept_320KW] PCC Production voltage of L3-L1 (Vac),ntar_conc__320kwp__pcc_prod_volt_of_l3_l1__u_vac
[Ntarali_Concept_320KW] PCC Total Production active power (kW),ntar_conc__320kwp__pcc_tota_prod_acti_powe__u_kw
[Ntarali_Concept_320KW] PCC Total Production apparent power (kVA),ntar_conc__320kwp__pcc_tota_prod_appa_powe__u_kva
[Ntarali_Concept_320KW] PCC Total Production reactive power (kVAr),ntar_conc__320kwp__pcc_tota_prod_reac_powe__u_kvar
[Ntarali_Concept_320KW] Weather Station Ambient Temperature (C),ntar_conc__320kwp__weat_stat_ambi_temp__u_c
[Ntarali_Concept_320KW] Weather Station Relative Humidity  (%),ntar_conc__320kwp__weat_stat_rela_humi__u_pct
[Ntarali_Concept_592KW] Ntarali_Concept_592KW Average Irradiance (W*m^-2),ntar_conc__592kwp__aver_irra__u_w_m_2
[Ntarali_Concept_592KW] PCC PCC Current THD-R of neutral (%),ntar_conc__592kwp__pcc_curr_thd_r_of_neut__u_pct
[Ntarali_Concept_592KW] PCC PCC Current THD-R of phase L1 (%),ntar_conc__592kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Ntarali_Concept_592KW] PCC PCC Current THD-R of phase L2 (%),ntar_conc__592kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Ntarali_Concept_592KW] PCC PCC Current THD-R of phase L3 (%),ntar_conc__592kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Ntarali_Concept_592KW] PCC PCC active energy export (kWh),ntar_conc__592kwp__pcc_acti_ener_expo__u_kwh
[Ntarali_Concept_592KW] PCC PCC active energy import (kWh),ntar_conc__592kwp__pcc_acti_ener_impo__u_kwh
[Ntarali_Concept_592KW] PCC PCC apparent energy (kVAh),ntar_conc__592kwp__pcc_appa_ener__u_kvah
[Ntarali_Concept_592KW] PCC PCC average current (A),ntar_conc__592kwp__pcc_aver_curr__u_a
[Ntarali_Concept_592KW] PCC PCC average line voltage (Vac),ntar_conc__592kwp__pcc_aver_line_volt__u_vac
[Ntarali_Concept_592KW] PCC PCC average phase voltage (Vac),ntar_conc__592kwp__pcc_aver_phas_volt__u_vac
[Ntarali_Concept_592KW] PCC PCC current of phase L1 (A),ntar_conc__592kwp__pcc_curr_of_phas_l1__u_a
[Ntarali_Concept_592KW] PCC PCC current of phase L2 (A),ntar_conc__592kwp__pcc_curr_of_phas_l2__u_a
[Ntarali_Concept_592KW] PCC PCC current of phase L3 (A),ntar_conc__592kwp__pcc_curr_of_phas_l3__u_a
[Ntarali_Concept_592KW] PCC PCC current unbalance of phase L1 (%),ntar_conc__592kwp__pcc_curr_unba_of_phas_l1__u_pct
[Ntarali_Concept_592KW] PCC PCC current unbalance of phase L2 (%),ntar_conc__592kwp__pcc_curr_unba_of_phas_l2__u_pct
[Ntarali_Concept_592KW] PCC PCC current unbalance of phase L3 (%),ntar_conc__592kwp__pcc_curr_unba_of_phas_l3__u_pct
[Ntarali_Concept_592KW] PCC PCC frequency (Hz),ntar_conc__592kwp__pcc_freq__u_hz
[Ntarali_Concept_592KW] PCC PCC power factor of phase L1 (-),ntar_conc__592kwp__pcc_powe_fact_of_phas_l1__u_num
[Ntarali_Concept_592KW] PCC PCC power factor of phase L2 (-),ntar_conc__592kwp__pcc_powe_fact_of_phas_l2__u_num
[Ntarali_Concept_592KW] PCC PCC power factor of phase L3 (-),ntar_conc__592kwp__pcc_powe_fact_of_phas_l3__u_num
[Ntarali_Concept_592KW] PCC PCC reactive energy export (kVArh),ntar_conc__592kwp__pcc_reac_ener_expo__u_kvarh
[Ntarali_Concept_592KW] PCC PCC reactive energy import (kVArh),ntar_conc__592kwp__pcc_reac_ener_impo__u_kvarh
[Ntarali_Concept_592KW] PCC PCC total power factor (-),ntar_conc__592kwp__pcc_tota_powe_fact__u_num
[Ntarali_Concept_592KW] PCC PCC voltage of L1-L2 (Vac),ntar_conc__592kwp__pcc_volt_of_l1_l2__u_vac
[Ntarali_Concept_592KW] PCC PCC voltage of L2-L3 (Vac),ntar_conc__592kwp__pcc_volt_of_l2_l3__u_vac
[Ntarali_Concept_592KW] PCC PCC voltage of L3-L1 (Vac),ntar_conc__592kwp__pcc_volt_of_l3_l1__u_vac
[Ntarali_Concept_592KW] PCC Production active energy export (kWh),ntar_conc__592kwp__pcc_prod_acti_ener_expo__u_kwh
[Ntarali_Concept_592KW] PCC Production active energy import (kWh),ntar_conc__592kwp__pcc_prod_acti_ener_impo__u_kwh
[Ntarali_Concept_592KW] PCC Production apparent energy (kVAh),ntar_conc__592kwp__pcc_prod_appa_ener__u_kvah
[Ntarali_Concept_592KW] PCC Production current of phase L1 (A),ntar_conc__592kwp__pcc_prod_curr_of_phas_l1__u_a
[Ntarali_Concept_592KW] PCC Production current of phase L2 (A),ntar_conc__592kwp__pcc_prod_curr_of_phas_l2__u_a
[Ntarali_Concept_592KW] PCC Production current of phase L3 (A),ntar_conc__592kwp__pcc_prod_curr_of_phas_l3__u_a
[Ntarali_Concept_592KW] PCC Production frequency (Hz),ntar_conc__592kwp__pcc_prod_freq__u_hz
[Ntarali_Concept_592KW] PCC Production reactive energy export (kVArh),ntar_conc__592kwp__pcc_prod_reac_ener_expo__u_kvarh
[Ntarali_Concept_592KW] PCC Production reactive energy import (kVArh),ntar_conc__592kwp__pcc_prod_reac_ener_impo__u_kvarh
[Ntarali_Concept_592KW] PCC Production total power factor (-),ntar_conc__592kwp__pcc_prod_tota_powe_fact__u_num
[Ntarali_Concept_592KW] PCC Production voltage of L1-L2 (Vac),ntar_conc__592kwp__pcc_prod_volt_of_l1_l2__u_vac
[Ntarali_Concept_592KW] PCC Production voltage of L2-L3 (Vac),ntar_conc__592kwp__pcc_prod_volt_of_l2_l3__u_vac
[Ntarali_Concept_592KW] PCC Production voltage of L3-L1 (Vac),ntar_conc__592kwp__pcc_prod_volt_of_l3_l1__u_vac
[Ntarali_Concept_592KW] PCC Total Production active power (kW),ntar_conc__592kwp__pcc_tota_prod_acti_powe__u_kw
[Ntarali_Concept_592KW] PCC Total Production apparent power (kVA),ntar_conc__592kwp__pcc_tota_prod_appa_powe__u_kva
[Ntarali_Concept_592KW] PCC Total Production reactive power (kVAr),ntar_conc__592kwp__pcc_tota_prod_reac_powe__u_kvar
[Ntarali_Konenergy_590KW] Ntarali_Konenergy_590KW Average Irradiance (W*m^-2),ntar_kone__590kwp__aver_irra__u_w_m_2
[Ntarali_Konenergy_590KW] PCC PCC Current THD-R of neutral (%),ntar_kone__590kwp__pcc_curr_thd_r_of_neut__u_pct
[Ntarali_Konenergy_590KW] PCC PCC Current THD-R of phase L1 (%),ntar_kone__590kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Ntarali_Konenergy_590KW] PCC PCC Current THD-R of phase L2 (%),ntar_kone__590kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Ntarali_Konenergy_590KW] PCC PCC Current THD-R of phase L3 (%),ntar_kone__590kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Ntarali_Konenergy_590KW] PCC PCC active energy export (kWh),ntar_kone__590kwp__pcc_acti_ener_expo__u_kwh
[Ntarali_Konenergy_590KW] PCC PCC active energy import (kWh),ntar_kone__590kwp__pcc_acti_ener_impo__u_kwh
[Ntarali_Konenergy_590KW] PCC PCC apparent energy (kVAh),ntar_kone__590kwp__pcc_appa_ener__u_kvah
[Ntarali_Konenergy_590KW] PCC PCC average current (A),ntar_kone__590kwp__pcc_aver_curr__u_a
[Ntarali_Konenergy_590KW] PCC PCC average line voltage (Vac),ntar_kone__590kwp__pcc_aver_line_volt__u_vac
[Ntarali_Konenergy_590KW] PCC PCC average phase voltage (Vac),ntar_kone__590kwp__pcc_aver_phas_volt__u_vac
[Ntarali_Konenergy_590KW] PCC PCC current of phase L1 (A),ntar_kone__590kwp__pcc_curr_of_phas_l1__u_a
[Ntarali_Konenergy_590KW] PCC PCC current of phase L2 (A),ntar_kone__590kwp__pcc_curr_of_phas_l2__u_a
[Ntarali_Konenergy_590KW] PCC PCC current of phase L3 (A),ntar_kone__590kwp__pcc_curr_of_phas_l3__u_a
[Ntarali_Konenergy_590KW] PCC PCC current unbalance of phase L1 (%),ntar_kone__590kwp__pcc_curr_unba_of_phas_l1__u_pct
[Ntarali_Konenergy_590KW] PCC PCC current unbalance of phase L2 (%),ntar_kone__590kwp__pcc_curr_unba_of_phas_l2__u_pct
[Ntarali_Konenergy_590KW] PCC PCC current unbalance of phase L3 (%),ntar_kone__590kwp__pcc_curr_unba_of_phas_l3__u_pct
[Ntarali_Konenergy_590KW] PCC PCC frequency (Hz),ntar_kone__590kwp__pcc_freq__u_hz
[Ntarali_Konenergy_590KW] PCC PCC power factor of phase L1 (-),ntar_kone__590kwp__pcc_powe_fact_of_phas_l1__u_num
[Ntarali_Konenergy_590KW] PCC PCC power factor of phase L2 (-),ntar_kone__590kwp__pcc_powe_fact_of_phas_l2__u_num
[Ntarali_Konenergy_590KW] PCC PCC power factor of phase L3 (-),ntar_kone__590kwp__pcc_powe_fact_of_phas_l3__u_num
[Ntarali_Konenergy_590KW] PCC PCC reactive energy export (kVArh),ntar_kone__590kwp__pcc_reac_ener_expo__u_kvarh
[Ntarali_Konenergy_590KW] PCC PCC reactive energy import (kVArh),ntar_kone__590kwp__pcc_reac_ener_impo__u_kvarh
[Ntarali_Konenergy_590KW] PCC PCC total power factor (-),ntar_kone__590kwp__pcc_tota_powe_fact__u_num
[Ntarali_Konenergy_590KW] PCC PCC voltage of L1-L2 (Vac),ntar_kone__590kwp__pcc_volt_of_l1_l2__u_vac
[Ntarali_Konenergy_590KW] PCC PCC voltage of L2-L3 (Vac),ntar_kone__590kwp__pcc_volt_of_l2_l3__u_vac
[Ntarali_Konenergy_590KW] PCC PCC voltage of L3-L1 (Vac),ntar_kone__590kwp__pcc_volt_of_l3_l1__u_vac
[Ntarali_Konenergy_590KW] PCC Production active energy export (kWh),ntar_kone__590kwp__pcc_prod_acti_ener_expo__u_kwh
[Ntarali_Konenergy_590KW] PCC Production active energy import (kWh),ntar_kone__590kwp__pcc_prod_acti_ener_impo__u_kwh
[Ntarali_Konenergy_590KW] PCC Production apparent energy (kVAh),ntar_kone__590kwp__pcc_prod_appa_ener__u_kvah
[Ntarali_Konenergy_590KW] PCC Production current of phase L1 (A),ntar_kone__590kwp__pcc_prod_curr_of_phas_l1__u_a
[Ntarali_Konenergy_590KW] PCC Production current of phase L2 (A),ntar_kone__590kwp__pcc_prod_curr_of_phas_l2__u_a
[Ntarali_Konenergy_590KW] PCC Production current of phase L3 (A),ntar_kone__590kwp__pcc_prod_curr_of_phas_l3__u_a
[Ntarali_Konenergy_590KW] PCC Production frequency (Hz),ntar_kone__590kwp__pcc_prod_freq__u_hz
[Ntarali_Konenergy_590KW] PCC Production reactive energy export (kVArh),ntar_kone__590kwp__pcc_prod_reac_ener_expo__u_kvarh
[Ntarali_Konenergy_590KW] PCC Production reactive energy import (kVArh),ntar_kone__590kwp__pcc_prod_reac_ener_impo__u_kvarh
[Ntarali_Konenergy_590KW] PCC Production total power factor (-),ntar_kone__590kwp__pcc_prod_tota_powe_fact__u_num
[Ntarali_Konenergy_590KW] PCC Production voltage of L1-L2 (Vac),ntar_kone__590kwp__pcc_prod_volt_of_l1_l2__u_vac
[Ntarali_Konenergy_590KW] PCC Production voltage of L2-L3 (Vac),ntar_kone__590kwp__pcc_prod_volt_of_l2_l3__u_vac
[Ntarali_Konenergy_590KW] PCC Production voltage of L3-L1 (Vac),ntar_kone__590kwp__pcc_prod_volt_of_l3_l1__u_vac
[Ntarali_Konenergy_590KW] PCC Total Production active power (kW),ntar_kone__590kwp__pcc_tota_prod_acti_powe__u_kw
[Ntarali_Konenergy_590KW] PCC Total Production apparent power (kVA),ntar_kone__590kwp__pcc_tota_prod_appa_powe__u_kva
[Ntarali_Konenergy_590KW] PCC Total Production reactive power (kVAr),ntar_kone__590kwp__pcc_tota_prod_reac_powe__u_kvar
[NyConTec 993 Kwp Giannopouleika] NyConTec 993 Kwp Giannopouleika Average Irradiance (W*m^-2),nyco_gian__993kwp__aver_irra__u_w_m_2
[NyConTec 993 Kwp Giannopouleika] PCC PCC Current THD-R of neutral (%),nyco_gian__993kwp__pcc_curr_thd_r_of_neut__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC Current THD-R of phase L1 (%),nyco_gian__993kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC Current THD-R of phase L2 (%),nyco_gian__993kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC Current THD-R of phase L3 (%),nyco_gian__993kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC active energy export (kWh),nyco_gian__993kwp__pcc_acti_ener_expo__u_kwh
[NyConTec 993 Kwp Giannopouleika] PCC PCC active energy import (kWh),nyco_gian__993kwp__pcc_acti_ener_impo__u_kwh
[NyConTec 993 Kwp Giannopouleika] PCC PCC apparent energy (kVAh),nyco_gian__993kwp__pcc_appa_ener__u_kvah
[NyConTec 993 Kwp Giannopouleika] PCC PCC average current (A),nyco_gian__993kwp__pcc_aver_curr__u_a
[NyConTec 993 Kwp Giannopouleika] PCC PCC average line voltage (Vac),nyco_gian__993kwp__pcc_aver_line_volt__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC PCC average phase voltage (Vac),nyco_gian__993kwp__pcc_aver_phas_volt__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC PCC current of phase L1 (A),nyco_gian__993kwp__pcc_curr_of_phas_l1__u_a
[NyConTec 993 Kwp Giannopouleika] PCC PCC current of phase L2 (A),nyco_gian__993kwp__pcc_curr_of_phas_l2__u_a
[NyConTec 993 Kwp Giannopouleika] PCC PCC current of phase L3 (A),nyco_gian__993kwp__pcc_curr_of_phas_l3__u_a
[NyConTec 993 Kwp Giannopouleika] PCC PCC current unbalance of phase L1 (%),nyco_gian__993kwp__pcc_curr_unba_of_phas_l1__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC current unbalance of phase L2 (%),nyco_gian__993kwp__pcc_curr_unba_of_phas_l2__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC current unbalance of phase L3 (%),nyco_gian__993kwp__pcc_curr_unba_of_phas_l3__u_pct
[NyConTec 993 Kwp Giannopouleika] PCC PCC frequency (Hz),nyco_gian__993kwp__pcc_freq__u_hz
[NyConTec 993 Kwp Giannopouleika] PCC PCC power factor of phase L1 (-),nyco_gian__993kwp__pcc_powe_fact_of_phas_l1__u_num
[NyConTec 993 Kwp Giannopouleika] PCC PCC power factor of phase L2 (-),nyco_gian__993kwp__pcc_powe_fact_of_phas_l2__u_num
[NyConTec 993 Kwp Giannopouleika] PCC PCC power factor of phase L3 (-),nyco_gian__993kwp__pcc_powe_fact_of_phas_l3__u_num
[NyConTec 993 Kwp Giannopouleika] PCC PCC reactive energy export (kVArh),nyco_gian__993kwp__pcc_reac_ener_expo__u_kvarh
[NyConTec 993 Kwp Giannopouleika] PCC PCC reactive energy import (kVArh),nyco_gian__993kwp__pcc_reac_ener_impo__u_kvarh
[NyConTec 993 Kwp Giannopouleika] PCC PCC total power factor (-),nyco_gian__993kwp__pcc_tota_powe_fact__u_num
[NyConTec 993 Kwp Giannopouleika] PCC PCC voltage of L1-L2 (Vac),nyco_gian__993kwp__pcc_volt_of_l1_l2__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC PCC voltage of L2-L3 (Vac),nyco_gian__993kwp__pcc_volt_of_l2_l3__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC PCC voltage of L3-L1 (Vac),nyco_gian__993kwp__pcc_volt_of_l3_l1__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC Production active energy export (kWh),nyco_gian__993kwp__pcc_prod_acti_ener_expo__u_kwh
[NyConTec 993 Kwp Giannopouleika] PCC Production active energy import (kWh),nyco_gian__993kwp__pcc_prod_acti_ener_impo__u_kwh
[NyConTec 993 Kwp Giannopouleika] PCC Production apparent energy (kVAh),nyco_gian__993kwp__pcc_prod_appa_ener__u_kvah
[NyConTec 993 Kwp Giannopouleika] PCC Production current of phase L1 (A),nyco_gian__993kwp__pcc_prod_curr_of_phas_l1__u_a
[NyConTec 993 Kwp Giannopouleika] PCC Production current of phase L2 (A),nyco_gian__993kwp__pcc_prod_curr_of_phas_l2__u_a
[NyConTec 993 Kwp Giannopouleika] PCC Production current of phase L3 (A),nyco_gian__993kwp__pcc_prod_curr_of_phas_l3__u_a
[NyConTec 993 Kwp Giannopouleika] PCC Production frequency (Hz),nyco_gian__993kwp__pcc_prod_freq__u_hz
[NyConTec 993 Kwp Giannopouleika] PCC Production reactive energy export (kVArh),nyco_gian__993kwp__pcc_prod_reac_ener_expo__u_kvarh
[NyConTec 993 Kwp Giannopouleika] PCC Production reactive energy import (kVArh),nyco_gian__993kwp__pcc_prod_reac_ener_impo__u_kvarh
[NyConTec 993 Kwp Giannopouleika] PCC Production total power factor (-),nyco_gian__993kwp__pcc_prod_tota_powe_fact__u_num
[NyConTec 993 Kwp Giannopouleika] PCC Production voltage of L1-L2 (Vac),nyco_gian__993kwp__pcc_prod_volt_of_l1_l2__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC Production voltage of L2-L3 (Vac),nyco_gian__993kwp__pcc_prod_volt_of_l2_l3__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC Production voltage of L3-L1 (Vac),nyco_gian__993kwp__pcc_prod_volt_of_l3_l1__u_vac
[NyConTec 993 Kwp Giannopouleika] PCC Total Production active power (kW),nyco_gian__993kwp__pcc_tota_prod_acti_powe__u_kw
[NyConTec 993 Kwp Giannopouleika] PCC Total Production apparent power (kVA),nyco_gian__993kwp__pcc_tota_prod_appa_powe__u_kva
[NyConTec 993 Kwp Giannopouleika] PCC Total Production reactive power (kVAr),nyco_gian__993kwp__pcc_tota_prod_reac_powe__u_kvar
[NyConTec 993 Kwp Giannopouleika] Weather Station Ambient Temperature (C),nyco_gian__993kwp__weat_stat_ambi_temp__u_c
[NyConTec 993 Kwp Giannopouleika] Weather Station Relative Humidity  (%),nyco_gian__993kwp__weat_stat_rela_humi__u_pct
[Palaionaziro_Iraio] PCC PCC Current THD-R of neutral (%),pala_irai__1kwp__pcc_curr_thd_r_of_neut__u_pct
[Palaionaziro_Iraio] PCC PCC Current THD-R of phase L1 (%),pala_irai__1kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Palaionaziro_Iraio] PCC PCC Current THD-R of phase L2 (%),pala_irai__1kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Palaionaziro_Iraio] PCC PCC Current THD-R of phase L3 (%),pala_irai__1kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Palaionaziro_Iraio] PCC PCC active energy export (kWh),pala_irai__1kwp__pcc_acti_ener_expo__u_kwh
[Palaionaziro_Iraio] PCC PCC active energy import (kWh),pala_irai__1kwp__pcc_acti_ener_impo__u_kwh
[Palaionaziro_Iraio] PCC PCC apparent energy (kVAh),pala_irai__1kwp__pcc_appa_ener__u_kvah
[Palaionaziro_Iraio] PCC PCC average current (A),pala_irai__1kwp__pcc_aver_curr__u_a
[Palaionaziro_Iraio] PCC PCC average line voltage (Vac),pala_irai__1kwp__pcc_aver_line_volt__u_vac
[Palaionaziro_Iraio] PCC PCC average phase voltage (Vac),pala_irai__1kwp__pcc_aver_phas_volt__u_vac
[Palaionaziro_Iraio] PCC PCC current of phase L1 (A),pala_irai__1kwp__pcc_curr_of_phas_l1__u_a
[Palaionaziro_Iraio] PCC PCC current of phase L2 (A),pala_irai__1kwp__pcc_curr_of_phas_l2__u_a
[Palaionaziro_Iraio] PCC PCC current of phase L3 (A),pala_irai__1kwp__pcc_curr_of_phas_l3__u_a
[Palaionaziro_Iraio] PCC PCC current unbalance of phase L1 (%),pala_irai__1kwp__pcc_curr_unba_of_phas_l1__u_pct
[Palaionaziro_Iraio] PCC PCC current unbalance of phase L2 (%),pala_irai__1kwp__pcc_curr_unba_of_phas_l2__u_pct
[Palaionaziro_Iraio] PCC PCC current unbalance of phase L3 (%),pala_irai__1kwp__pcc_curr_unba_of_phas_l3__u_pct
[Palaionaziro_Iraio] PCC PCC frequency (Hz),pala_irai__1kwp__pcc_freq__u_hz
[Palaionaziro_Iraio] PCC PCC power factor of phase L1 (-),pala_irai__1kwp__pcc_powe_fact_of_phas_l1__u_num
[Palaionaziro_Iraio] PCC PCC power factor of phase L2 (-),pala_irai__1kwp__pcc_powe_fact_of_phas_l2__u_num
[Palaionaziro_Iraio] PCC PCC power factor of phase L3 (-),pala_irai__1kwp__pcc_powe_fact_of_phas_l3__u_num
[Palaionaziro_Iraio] PCC PCC reactive energy export (kVArh),pala_irai__1kwp__pcc_reac_ener_expo__u_kvarh
[Palaionaziro_Iraio] PCC PCC reactive energy import (kVArh),pala_irai__1kwp__pcc_reac_ener_impo__u_kvarh
[Palaionaziro_Iraio] PCC PCC total power factor (-),pala_irai__1kwp__pcc_tota_powe_fact__u_num
[Palaionaziro_Iraio] PCC PCC voltage of L1-L2 (Vac),pala_irai__1kwp__pcc_volt_of_l1_l2__u_vac
[Palaionaziro_Iraio] PCC PCC voltage of L2-L3 (Vac),pala_irai__1kwp__pcc_volt_of_l2_l3__u_vac
[Palaionaziro_Iraio] PCC PCC voltage of L3-L1 (Vac),pala_irai__1kwp__pcc_volt_of_l3_l1__u_vac
[Palaionaziro_Iraio] PCC Production active energy export (kWh),pala_irai__1kwp__pcc_prod_acti_ener_expo__u_kwh
[Palaionaziro_Iraio] PCC Production active energy import (kWh),pala_irai__1kwp__pcc_prod_acti_ener_impo__u_kwh
[Palaionaziro_Iraio] PCC Production apparent energy (kVAh),pala_irai__1kwp__pcc_prod_appa_ener__u_kvah
[Palaionaziro_Iraio] PCC Production current of phase L1 (A),pala_irai__1kwp__pcc_prod_curr_of_phas_l1__u_a
[Palaionaziro_Iraio] PCC Production current of phase L2 (A),pala_irai__1kwp__pcc_prod_curr_of_phas_l2__u_a
[Palaionaziro_Iraio] PCC Production current of phase L3 (A),pala_irai__1kwp__pcc_prod_curr_of_phas_l3__u_a
[Palaionaziro_Iraio] PCC Production frequency (Hz),pala_irai__1kwp__pcc_prod_freq__u_hz
[Palaionaziro_Iraio] PCC Production reactive energy export (kVArh),pala_irai__1kwp__pcc_prod_reac_ener_expo__u_kvarh
[Palaionaziro_Iraio] PCC Production reactive energy import (kVArh),pala_irai__1kwp__pcc_prod_reac_ener_impo__u_kvarh
[Palaionaziro_Iraio] PCC Production total power factor (-),pala_irai__1kwp__pcc_prod_tota_powe_fact__u_num
[Palaionaziro_Iraio] PCC Production voltage of L1-L2 (Vac),pala_irai__1kwp__pcc_prod_volt_of_l1_l2__u_vac
[Palaionaziro_Iraio] PCC Production voltage of L2-L3 (Vac),pala_irai__1kwp__pcc_prod_volt_of_l2_l3__u_vac
[Palaionaziro_Iraio] PCC Production voltage of L3-L1 (Vac),pala_irai__1kwp__pcc_prod_volt_of_l3_l1__u_vac
[Palaionaziro_Iraio] PCC Total Production active power (kW),pala_irai__1kwp__pcc_tota_prod_acti_powe__u_kw
[Palaionaziro_Iraio] PCC Total Production apparent power (kVA),pala_irai__1kwp__pcc_tota_prod_appa_powe__u_kva
[Palaionaziro_Iraio] PCC Total Production reactive power (kVAr),pala_irai__1kwp__pcc_tota_prod_reac_powe__u_kvar
[Palaionaziro_Iraio] Palaionaziro_Iraio Average Irradiance (W*m^-2),pala_irai__1kwp__aver_irra__u_w_m_2
[Palaionaziro_Iraio] Weather Station Ambient temperature (C),pala_irai__1kwp__weat_stat_ambi_temp__u_c
[Palaionaziro_Iraio] Weather Station Relative humidity (%),pala_irai__1kwp__weat_stat_rela_humi__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC Current THD-R of neutral (%),sola_conc_liko__276kwp__pcc_curr_thd_r_of_neut__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC Current THD-R of phase L1 (%),sola_conc_liko__276kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC Current THD-R of phase L2 (%),sola_conc_liko__276kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC Current THD-R of phase L3 (%),sola_conc_liko__276kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC active energy export (kWh),sola_conc_liko__276kwp__pcc_acti_ener_expo__u_kwh
[Solar Concept 276 KWp Likovouni] PCC PCC active energy import (kWh),sola_conc_liko__276kwp__pcc_acti_ener_impo__u_kwh
[Solar Concept 276 KWp Likovouni] PCC PCC apparent energy (kVAh),sola_conc_liko__276kwp__pcc_appa_ener__u_kvah
[Solar Concept 276 KWp Likovouni] PCC PCC current of phase L1 (A),sola_conc_liko__276kwp__pcc_curr_of_phas_l1__u_a
[Solar Concept 276 KWp Likovouni] PCC PCC current of phase L2 (A),sola_conc_liko__276kwp__pcc_curr_of_phas_l2__u_a
[Solar Concept 276 KWp Likovouni] PCC PCC current of phase L3 (A),sola_conc_liko__276kwp__pcc_curr_of_phas_l3__u_a
[Solar Concept 276 KWp Likovouni] PCC PCC current unbalance of phase L1 (%),sola_conc_liko__276kwp__pcc_curr_unba_of_phas_l1__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC current unbalance of phase L2 (%),sola_conc_liko__276kwp__pcc_curr_unba_of_phas_l2__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC current unbalance of phase L3 (%),sola_conc_liko__276kwp__pcc_curr_unba_of_phas_l3__u_pct
[Solar Concept 276 KWp Likovouni] PCC PCC frequency (Hz),sola_conc_liko__276kwp__pcc_freq__u_hz
